Company Name,Website,Segment,What they make,Revenue Band,Decision-maker,E1 Producer,E2 Accessible,C3 Differentiated,C4 Decision-Maker,C5 Growing Sector,C6 Growth Signals,C7 Systems Maturity,C8 Leadership Succession,Federer Score,Verdict,Personalization Hook
Bharat Biotech,bharatbiotech.com,Biotech,Vaccines & biotherapeutics,>Rs.500Cr,Dr. Krishna Ella (PhD),PASS,PASS,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Strong (15),100,A - Strong Federer,"Developed Covaxin, India’s first indigenous COVID-19 vaccine"
Sanzyme Biologics,sanzymebiologics.com,Biotech,Probiotics & fermentation products,Rs.100-300Cr,Dr. Suresh Kumar,PASS,PASS,Strong (20),Moderate (8),Strong (15),Strong (15),Moderate (10),Moderate (8),76,B - Probable Federer,Exports probiotics to 40+ countries
PopVax,popvax.com,Biotech,mRNA vaccines,Rs.30-100Cr,Dr. Anurag Agrawal,PASS,PASS,Strong (20),Strong (15),Strong (15),Strong (15),Moderate (10),Moderate (8),83,A - Strong Federer,Received Gates Foundation & BARDA funding
Yapan Bio,yapanbio.com,Biotech,Viral vectors & biologics,Rs.30-100Cr,Dr. Murali Krishna,PASS,PASS,Strong (20),Strong (15),Strong (15),Strong (15),Moderate (10),Moderate (8),83,A - Strong Federer,Expanded Genome Valley facility in 2024
Sapien Biosciences,sapienbio.com,Biotech,Precision medicine biobank,Rs.30-100Cr,Apollo JV,PASS,PASS,Moderate (10),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),59,C - Borderline,"200,000+ biospecimens collected"
Indian Immunologicals Ltd.,indimmune.com,Animal Health,Veterinary & human vaccines,Rs.300-500Cr,Dr. K. Anand Kumar,PASS,PASS,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Strong (15),100,A - Strong Federer,World’s largest animal vaccine plant
Mapmygenome,mapmygenome.in,Diagnostics,Genomics diagnostics,Rs.30-100Cr,Anu Acharya (IIT),PASS,PASS,Strong (20),Strong (15),Strong (15),Moderate (8),Moderate (10),Moderate (8),76,B - Probable Federer,DNA-based personalized health solutions
D-NOME Pvt. Ltd.,d-nome.com,Medical Devices,Pocket PCR diagnostic device,<Rs.30Cr,Dr. Ramesh,PASS,PASS,Strong (20),Moderate (8),Strong (15),Moderate (8),Moderate (10),Weak (0),61,B - Probable Federer,Developed India’s first portable PCR device
CSD Labs,csdlabs.com,Chemicals,Custom synthesis of fine chemicals,Rs.30-100Cr,Dr. Prasad,PASS,PASS,Strong (20),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),69,B - Probable Federer,Specialty intermediates for pharma & agro
CNS Labs Pvt. Ltd.,cnslabs.com,Chemicals,Specialty intermediates,Rs.30-100Cr,Dr. Rao,PASS,PASS,Strong (20),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),69,B - Probable Federer,Specialty intermediates for pharma
Avi Additives Pvt. Ltd.,aviadditives.com,Performance Chemicals,Polymer additives & masterbatches,Rs.30-100Cr,Mr. Reddy,PASS,PASS,Strong (20),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),69,B - Probable Federer,ISO-certified polymer additives producer
Nirvesh Enterprises,nirveshmedtech.com,Medical Devices,Neurology & oncology devices,Rs.30-100Cr,Dr. Sharma,PASS,PASS,Strong (20),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),69,B - Probable Federer,ISO 13485 certified MedTech devices
Arni Medica Pvt. Ltd.,arnimedica.com,Medical Devices,IVD diagnostics & implants,Rs.30-100Cr,Dr. Arni,PASS,PASS,Strong (20),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),69,B - Probable Federer,Exports to 5+ countries
Relisys Medical Devices Ltd.,relisys.in,Medical Devices,Cardiovascular stents & implants,Rs.100-300Cr,Dr. Reddy,PASS,PASS,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Strong (15),100,A - Strong Federer,Cardiovascular stents with CE approvals
Smart Automation & Instruments,smartautomation.in,Sensors,Process control instruments,Rs.30-100Cr,Mr. Rao,PASS,PASS,Moderate (10),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),59,C - Borderline,Industrial process sensors & analyzers
Siban Scientific,siban.in,Sensors,IoT-enabled monitoring devices,Rs.30-100Cr,Mr. Siban,PASS,PASS,Strong (20),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),69,B - Probable Federer,IoT-enabled safety monitoring devices
Icon Instrumentation,iconinstrumentation.com,Sensors,Automation sensors & controllers,Rs.30-100Cr,Mr. Kumar,PASS,PASS,Moderate (10),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),59,C - Borderline,Industrial automation sensors
Swadeshi Engineering,swadeshigears.com,Precision Auto,CNC precision gears & shafts,Rs.30-100Cr,Mr. Reddy,PASS,PASS,Strong (20),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),69,B - Probable Federer,Exports precision gears globally
Agrogen India,agrogenindia.com,Precision Auto,Precision machined auto parts,Rs.30-100Cr,Mr. Rao,PASS,PASS,Strong (20),Moderate (8),Strong (15),Moderate (8),Moderate (10),Moderate (8),69,B - Probable Federer,ISO 9001 certified auto components
Laurus Labs,lauruslabs.com,Chemicals,APIs & intermediates,Rs.300-500Cr,Dr. Satyanarayana Chava,PASS,PASS,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Strong (15),100,A - Strong Federer,DSIR-recognized R&D centre
Gland Pharma,glandpharma.com,Pharma,Sterile injectables,Rs.300-500Cr,Dr. H. Kumar,PASS,PASS,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Strong (15),100,A - Strong Federer,USFDA-approved sterile injectables
Sai Life Sciences,sailife.com,Chemicals,Specialty pharma intermediates,Rs.100-300Cr,Dr. Krishna Kanumuri,PASS,PASS,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Strong (15),100,A - Strong Federer,Expanded Genome Valley R&D facility
Granules India,granulesindia.com,Pharma,APIs & intermediates,Rs.300-500Cr,Dr. Krishna Prasad,PASS,PASS,Strong (20),Strong (15),Strong (15),Strong,,,,,
